internal_id,official_code,official_code_normalized,province_code,province_name,region_name,region_type,display_name,geometry_source_name,geometry_source_id,alternative_names,autonomous_status,geometry_available,match_status,notes
gb-22746128B65593111718524,11.07,11.07,11,Aceh,Aceh Barat,Kabupaten,Kabupaten Aceh Barat,Aceh Barat,22746128B65593111718524,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B227561513795,11.12,11.12,11,Aceh,Aceh Barat Daya,Kabupaten,Kabupaten Aceh Barat Daya,Aceh Barat Daya,22746128B227561513795,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B90547447297479,11.08,11.08,11,Aceh,Aceh Besar,Kabupaten,Kabupaten Aceh Besar,Aceh Besar,22746128B90547447297479,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B21424895456858,11.16,11.16,11,Aceh,Aceh Jaya,Kabupaten,Kabupaten Aceh Jaya,Aceh Jaya,22746128B21424895456858,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B12428400263117,11.03,11.03,11,Aceh,Aceh Selatan,Kabupaten,Kabupaten Aceh Selatan,Aceh Selatan,22746128B12428400263117,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B17710719872214,11.02,11.02,11,Aceh,Aceh Singkil,Kabupaten,Kabupaten Aceh Singkil,Aceh Singkil,22746128B17710719872214,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B57620394058931,11.14,11.14,11,Aceh,Aceh Tamiang,Kabupaten,Kabupaten Aceh Tamiang,Aceh Tamiang,22746128B57620394058931,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B89023327523654,11.06,11.06,11,Aceh,Aceh Tengah,Kabupaten,Kabupaten Aceh Tengah,Aceh Tengah,22746128B89023327523654,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B65780821536148,11.04,11.04,11,Aceh,Aceh Tenggara,Kabupaten,Kabupaten Aceh Tenggara,Aceh Tenggara,22746128B65780821536148,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B94735591859977,11.05,11.05,11,Aceh,Aceh Timur,Kabupaten,Kabupaten Aceh Timur,Aceh Timur,22746128B94735591859977,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B43339434023645,11.11,11.11,11,Aceh,Aceh Utara,Kabupaten,Kabupaten Aceh Utara,Aceh Utara,22746128B43339434023645,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B89220130199878,13.07,13.07,13,Sumatera Barat,Agam,Kabupaten,Kabupaten Agam,Agam,22746128B89220130199878,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
