issue_type,geometry_source_name,geometry_source_id,official_code,province_name,region_name,candidate_count,notes
ambiguous_geometry_name,Bandung,22746128B73297609500416,,,,2,Bandung | Jawa Barat | 32.04; Kota Bandung | Jawa Barat | 32.73
ambiguous_geometry_name,Banjar,22746128B79736905882971,,,,2,Banjar | Kalimantan Selatan | 63.03; Kota Banjar | Jawa Barat | 32.79
ambiguous_geometry_name,Bekasi,22746128B74302729610221,,,,2,Bekasi | Jawa Barat | 32.16; Kota Bekasi | Jawa Barat | 32.75
ambiguous_geometry_name,Bima,22746128B14082340634491,,,,2,Bima | Nusa Tenggara Barat | 52.06; Kota Bima | Nusa Tenggara Barat | 52.72
ambiguous_geometry_name,Blitar,22746128B45235083091424,,,,2,Blitar | Jawa Timur | 35.05; Kota Blitar | Jawa Timur | 35.72
ambiguous_geometry_name,Bogor,22746128B99423643145371,,,,2,Bogor | Jawa Barat | 32.01; Kota Bogor | Jawa Barat | 32.71
ambiguous_geometry_name,Cirebon,22746128B77544549346240,,,,2,Cirebon | Jawa Barat | 32.09; Kota Cirebon | Jawa Barat | 32.74
ambiguous_geometry_name,Danau,22746128B15758871990616,,,,4,Danau | Sumatera Barat | 13.88; Danau | Sumatera Selatan | 16.88; Danau | Lampung | 18.88; Danau | Sulawesi Utara | 71.88
ambiguous_geometry_name,Gorontalo,22746128B1660874628525,,,,2,Gorontalo | Gorontalo | 75.02; Kota Gorontalo | Gorontalo | 75.71
ambiguous_geometry_name,Jayapura,22746128B71103770185906,,,,2,Jayapura | Papua | 94.03; Kota Jayapura | Papua | 94.71
ambiguous_geometry_name,Kediri,22746128B82286187836997,,,,2,Kediri | Jawa Timur | 35.06; Kota Kediri | Jawa Timur | 35.71
ambiguous_geometry_name,Kota Bandung,22746128B71762235135177,,,,2,Bandung | Jawa Barat | 32.04; Kota Bandung | Jawa Barat | 32.73
ambiguous_geometry_name,Kota Banjar,22746128B64728543729693,,,,2,Banjar | Kalimantan Selatan | 63.03; Kota Banjar | Jawa Barat | 32.79
ambiguous_geometry_name,Kota Bekasi,22746128B54763839112631,,,,2,Bekasi | Jawa Barat | 32.16; Kota Bekasi | Jawa Barat | 32.75
ambiguous_geometry_name,Kota Bima,22746128B33789977192923,,,,2,Bima | Nusa Tenggara Barat | 52.06; Kota Bima | Nusa Tenggara Barat | 52.72
ambiguous_geometry_name,Kota Blitar,22746128B15123001204790,,,,2,Blitar | Jawa Timur | 35.05; Kota Blitar | Jawa Timur | 35.72
ambiguous_geometry_name,Kota Bogor,22746128B63896883204987,,,,2,Bogor | Jawa Barat | 32.01; Kota Bogor | Jawa Barat | 32.71
ambiguous_geometry_name,Kota Cirebon,22746128B80288264799633,,,,2,Cirebon | Jawa Barat | 32.09; Kota Cirebon | Jawa Barat | 32.74
ambiguous_geometry_name,Kota Gorontalo,22746128B66202348563483,,,,2,Gorontalo | Gorontalo | 75.02; Kota Gorontalo | Gorontalo | 75.71
ambiguous_geometry_name,Kota Jayapura,22746128B85346986276333,,,,2,Jayapura | Papua | 94.03; Kota Jayapura | Papua | 94.71
ambiguous_geometry_name,Kota Kediri,22746128B79918158306090,,,,2,Kediri | Jawa Timur | 35.06; Kota Kediri | Jawa Timur | 35.71
ambiguous_geometry_name,Kota Kupang,22746128B56606429525327,,,,2,Kota Kupang | Nusa Tenggara Timur | 53.71; Kupang | Nusa Tenggara Timur | 53.03
ambiguous_geometry_name,Kota Madiun,22746128B30166819315055,,,,2,Kota Madiun | Jawa Timur | 35.77; Madiun | Jawa Timur | 35.19
ambiguous_geometry_name,Kota Magelang,22746128B66141272433758,,,,2,Kota Magelang | Jawa Tengah | 33.71; Magelang | Jawa Tengah | 33.08
ambiguous_geometry_name,Kota Malang,22746128B9724218643478,,,,2,Kota Malang | Jawa Timur | 35.73; Malang | Jawa Timur | 35.07
ambiguous_geometry_name,Kota Mojokerto,22746128B53956788697299,,,,2,Kota Mojokerto | Jawa Timur | 35.76; Mojokerto | Jawa Timur | 35.16
ambiguous_geometry_name,Kota Pasuruan,22746128B86769429493629,,,,2,Kota Pasuruan | Jawa Timur | 35.75; Pasuruan | Jawa Timur | 35.14
ambiguous_geometry_name,Kota Pekalongan,22746128B98453198956040,,,,2,Kota Pekalongan | Jawa Tengah | 33.75; Pekalongan | Jawa Tengah | 33.26
